admin,password123,95518569,$5
test1,test123,98568841,$0
jamie,passw0rd123,88818882,$88
edmund123,lostsoul123,93218956,$20
huimin97,candypopz,91458875,$15
ryan1999,singaporex3,96539982,$19
sam1995,samsamwow,91288526,$50
weiqing12,testtest12,85958566,$13
wowzstars,wowtest,91284576,$20
xiaoming,iceice123,97851185,$12
mingmingx3,qwert123,88159833,$20
miko5533,catto123,95591258,$15
joey1999,sweetflows,98761185,$10
marcus12,idontknow,99551756,$15
katakato1,passudo12,95661174,$20
yaoming55,wafflez12,88174699,$50
mrtanhh,iamtanhh,99128566,$15
stevenlim15,callmekorkor,95128816,$20
teckahhock1,mrteh123,88157751,$12
